date,courier_partners_online,temperature,relative_humidity,precipitation
2022-10-20,74,28.02,0.48,0.0
2022-10-21,71,28.78,0.47,0.0
2022-10-22,76,32.39,0.54,0.0
2022-10-23,71,27.81,0.48,0.0
2022-10-24,71,28.58,0.47,0.0
2022-10-25,84,30.68,0.46,0.0
2022-10-26,78,29.56,0.47,0.0
2022-10-27,75,29.61,0.47,0.0
2022-10-28,69,24.42,0.5,0.0
2022-10-29,77,29.44,0.47,0.0
2022-10-30,70,,0.48,0.0
2022-10-31,74,31.75,0.46,0.0
2022-11-01,83,30.99,0.46,0.0
2022-11-02,77,20.54,0.54,0.0
2022-11-03,70,18.39,0.57,0.0
2022-11-04,67,18.81,0.78,0.62
2022-11-05,69,23.08,0.52,0.0
2022-11-06,66,10.12,0.79,0.63
2022-11-07,77,20.4,0.54,0.0
2022-11-08,79,18.36,0.57,
2022-11-09,75,23.06,0.52,0.0
2022-11-10,69,19.56,0.65,2.22
2022-11-11,69,19.56,0.56,0.0
2022-11-12,68,16.7,0.6,0.0
2022-11-13,75,20.6,0.54,0.0
2022-11-14,77,20.04,0.55,0.0
2022-11-15,71,14.18,0.65,1.01
2022-11-16,75,20.21,0.55,0.0
2022-11-17,75,23.08,0.52,0.0
2022-11-18,66,17.01,0.59,0.0
2022-11-19,65,14.89,0.64,0.5
2022-11-20,66,18.18,0.57,0.0
2022-11-21,72,19.16,0.56,0.0
2022-11-22,74,15.81,0.62,0.38
2022-11-23,74,16.57,0.6,0.65
2022-11-24,69,20.45,0.54,0.0
2022-11-25,70,15.27,0.63,0.39
2022-11-26,68,19.69,0.7,0.49
2022-11-27,73,20.38,0.55,0.0
2022-11-28,75,20.68,0.54,0.0
2022-11-29,73,19.21,0.56,0.0
2022-11-30,73,15.96,0.61,0.45
2022-12-01,70,2.57,0.96,0.98
2022-12-02,61,9.27,0.84,0.7
2022-12-03,58,8.06,0.87,2.68
2022-12-04,63,6.69,0.95,1.63
2022-12-05,69,6.61,0.96,0.91
2022-12-06,65,0.79,0.92,2.77
2022-12-07,67,5.06,0.98,2.51
2022-12-08,66,10.86,0.76,0.58
2022-12-09,65,9.33,0.84,0.7
2022-12-10,69,3.31,0.97,0.94
2022-12-11,72,8.72,0.87,0.76
2022-12-12,69,6.92,0.93,0.86
2022-12-13,71,3.07,0.93,0.86
2022-12-14,76,3.64,0.96,0.93
2022-12-15,65,12.91,0.69,1.36
2022-12-16,58,7.35,0.91,0.82
2022-12-17,63,8.77,0.87,2.53
2022-12-18,64,3.91,0.98,0.96
2022-12-19,62,6.64,0.92,3.94
2022-12-20,65,6.24,0.95,1.54
2022-12-21,73,7.9,0.9,0.81
2022-12-22,66,6.79,0.9,0.82
2022-12-23,64,9.25,0.9,0.81
2022-12-24,57,3.59,0.92,4.51
2022-12-25,65,,0.91,1.72
2022-12-26,61,9.41,0.83,0.69
2022-12-27,73,7.87,0.9,0.81
2022-12-28,73,7.71,0.87,3.04
2022-12-29,72,14.39,0.78,0.61
2022-12-30,58,4.63,0.98,6.84
2022-12-31,63,7.19,0.91,0.83
2023-01-01,55,-3.8,0.96,1.53
2023-01-02,58,-1.52,0.99,0.99
2023-01-03,63,,0.93,0.86
2023-01-04,66,-4.76,0.97,0.95
2023-01-05,60,-1.36,0.95,0.9
2023-01-06,51,-6.77,0.97,8.77
2023-01-07,57,-0.75,0.96,1.18
2023-01-08,65,-0.58,0.99,0.98
2023-01-09,61,-5.66,0.91,1.33
2023-01-10,65,-9.98,0.8,0.97
2023-01-11,64,0.45,1.0,3.23
2023-01-12,55,-2.99,0.93,4.09
2023-01-13,57,-3.14,1.0,1.0
2023-01-14,51,-3.76,1.0,1.0
2023-01-15,53,-7.07,0.94,8.52
2023-01-16,61,-4.57,0.96,0.92
2023-01-17,62,0.6,0.99,5.71
2023-01-18,59,-0.15,0.96,9.44
2023-01-19,57,-0.15,0.98,0.96
2023-01-20,47,-1.39,0.99,12.9
2023-01-21,53,-5.53,0.95,0.9
2023-01-22,61,0.64,0.96,3.09
2023-01-23,56,-3.6,0.93,0.86
2023-01-24,61,-6.46,0.99,1.11
2023-01-25,66,-0.0,0.98,0.95
2023-01-26,1175,-1.88,0.92,0.85
2023-01-27,52,-6.36,0.94,2.76
2023-01-28,52,2.46,0.9,6.86
2023-01-29,62,-1.24,0.93,5.08
2023-01-30,57,-8.02,0.84,0.84
2023-01-31,52,-1.65,0.9,8.94
2023-02-01,68,7.25,0.93,1.25
2023-02-02,68,8.91,0.86,0.74
2023-02-03,64,10.75,0.76,0.58
2023-02-04,65,5.59,0.92,3.49
2023-02-05,64,13.24,0.68,0.46
2023-02-06,65,6.12,0.99,0.98
2023-02-07,67,5.52,0.91,0.83
2023-02-08,65,2.52,0.99,3.26
2023-02-09,65,7.02,0.91,2.67
2023-02-10,62,14.5,0.75,1.42
2023-02-11,59,4.83,0.96,4.21
2023-02-12,63,5.49,0.92,0.84
2023-02-13,69,8.37,0.96,2.85
2023-02-14,74,12.16,0.71,0.91
2023-02-15,66,9.52,0.82,5.57
2023-02-16,65,9.32,0.84,0.7
2023-02-17,65,8.51,0.89,4.1
2023-02-18,62,8.4,0.89,2.33
2023-02-19,70,9.09,0.85,0.72
2023-02-20,68,8.91,0.86,0.74
2023-02-21,65,5.3,0.99,2.05
2023-02-22,77,8.26,0.82,0.67
2023-02-23,66,11.55,0.73,2.6
2023-02-24,57,,0.97,2.37
